match_id,batter,inning,Team,Opposition,Over,Ball,Runs,BF,Dots,Fours,Sixes,Out,Dismissal_Kind,Fall_of_Wicket,Strike_rate
981007,SK Raina,2,Gujarat Titans,Mumbai Indians,0,3,58,36,12,8,2,1,caught,122/4,161.11
981007,BB McCullum,2,Gujarat Titans,Mumbai Indians,1,1,48,27,11,8,1,1,bowled,96/2,177.78
981007,KD Karthik,2,Gujarat Titans,Mumbai Indians,9,3,3,4,1,0,0,1,caught,111/3,75.0
981007,DR Smith,2,Gujarat Titans,Mumbai Indians,11,2,37,23,8,4,2,0,,,160.87
981007,RA Jadeja,2,Gujarat Titans,Mumbai Indians,13,1,21,15,9,4,0,0,,,140.0
981009,RV Uthappa,1,Kolkata Knight Riders,Sunrisers Hyderabad,0,1,25,17,6,4,0,1,caught,33/1,147.06
981009,G Gambhir,1,Kolkata Knight Riders,Sunrisers Hyderabad,2,2,16,15,3,1,0,1,caught,57/3,106.67
981009,C Munro,1,Kolkata Knight Riders,Sunrisers Hyderabad,3,6,10,8,4,2,0,1,caught,48/2,125.0
981009,MK Pandey,1,Kolkata Knight Riders,Sunrisers Hyderabad,6,1,48,30,7,2,3,1,caught,144/4,160.0
981009,YK Pathan,1,Kolkata Knight Riders,Sunrisers Hyderabad,7,4,52,34,6,3,2,0,,,152.94
981009,JO Holder,1,Kolkata Knight Riders,Sunrisers Hyderabad,15,5,3,3,1,0,0,1,caught,153/5,100.0
981009,Shakib Al Hasan,1,Kolkata Knight Riders,Sunrisers Hyderabad,16,5,7,10,4,0,0,1,caught,164/6,70.0
981009,SA Yadav,1,Kolkata Knight Riders,Sunrisers Hyderabad,19,4,6,3,1,1,0,0,,,200.0
981009,S Dhawan,2,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,51,29,9,4,3,1,caught,86/2,175.86
981009,DA Warner,2,Sunrisers Hyderabad,Kolkata Knight Riders,0,2,18,16,8,1,1,1,bowled,28/1,112.5
981009,NV Ojha,2,Sunrisers Hyderabad,Kolkata Knight Riders,3,4,15,25,15,1,0,1,caught,92/3,60.0
981009,Yuvraj Singh,2,Sunrisers Hyderabad,Kolkata Knight Riders,11,4,19,12,7,1,2,1,caught,110/4,158.33
981009,KS Williamson,2,Sunrisers Hyderabad,Kolkata Knight Riders,12,5,7,9,3,0,0,1,caught,117/6,77.78
