date,id
25-04-2012,548339
26-04-2012,548341
27-04-2012,548342
28-04-2012,548343
28-04-2012,548344
29-04-2012,548345
29-04-2012,548346
30-04-2012,548347
01-05-2012,548348
01-05-2012,548349
02-05-2012,548350
03-05-2012,548351
04-05-2012,548352
05-05-2012,548353
05-05-2012,548354
06-05-2012,548355
06-05-2012,548356
07-05-2012,548357
08-05-2012,548358
08-05-2012,548359
09-05-2012,548360
10-05-2012,548329
10-05-2012,548361
11-05-2012,548362
12-05-2012,548363
12-05-2012,548364
13-05-2012,548365
13-05-2012,548366
14-05-2012,548367
14-05-2012,548368
15-05-2012,548369
16-05-2012,548370
17-05-2012,548371
17-05-2012,548372
18-05-2012,548373
19-05-2012,548374
19-05-2012,548375
20-05-2012,548376
20-05-2012,548377
22-05-2012,548378
23-05-2012,548379
25-05-2012,548380
27-05-2012,548381
03-04-2013,597998
04-04-2013,597999
05-04-2013,598000
06-04-2013,598001
06-04-2013,598002
07-04-2013,598003
07-04-2013,598004
08-04-2013,598005
09-04-2013,598006
09-04-2013,598048
10-04-2013,598007
11-04-2013,598008
11-04-2013,598009
12-04-2013,598010
13-04-2013,598011
13-04-2013,598012
14-04-2013,598013
14-04-2013,598014
15-04-2013,598015
16-04-2013,598016
16-04-2013,598017
17-04-2013,598018
17-04-2013,598019
18-04-2013,598020
19-04-2013,598021
20-04-2013,598022
20-04-2013,598023
21-04-2013,598024
21-04-2013,598025
22-04-2013,598026
23-04-2013,598027
23-04-2013,598059
24-04-2013,598029
25-04-2013,598030
26-04-2013,598031
27-04-2013,598032
27-04-2013,598033
28-04-2013,598034
28-04-2013,598035
29-04-2013,598036
29-04-2013,598037
30-04-2013,598038
01-05-2013,598039
01-05-2013,598040
02-05-2013,598041
02-05-2013,598042
03-05-2013,598043
04-05-2013,598044
05-05-2013,598046
05-05-2013,598047
06-05-2013,598064
07-05-2013,598049
07-05-2013,598050
08-05-2013,598051
09-05-2013,598052
09-05-2013,598053
10-05-2013,598054
11-05-2013,598055
11-05-2013,598056
12-05-2013,598057
12-05-2013,598058
13-05-2013,598060
14-05-2013,598045
14-05-2013,598062
15-05-2013,598061
15-05-2013,598063
16-05-2013,598028
17-05-2013,598065
18-05-2013,598066
18-05-2013,598068
19-05-2013,598067
19-05-2013,598069
21-05-2013,598070
22-05-2013,598071
24-05-2013,598072
26-05-2013,598073
16-04-2014,729279
17-04-2014,729281
18-04-2014,729283
18-04-2014,729285
19-04-2014,729287
19-04-2014,729289
20-04-2014,729291
21-04-2014,729293
22-04-2014,729295
23-04-2014,729297
24-04-2014,729299
25-04-2014,729301
25-04-2014,729303
26-04-2014,729305
26-04-2014,729307
27-04-2014,729309
27-04-2014,729311
28-04-2014,729313
29-04-2014,729315
30-04-2014,729317
02-05-2014,733971
03-05-2014,733973
03-05-2014,733975
04-05-2014,733977
05-05-2014,733979
05-05-2014,733981
06-05-2014,733983
07-05-2014,733985
07-05-2014,733987
08-05-2014,733989
09-05-2014,733991
10-05-2014,733993
10-05-2014,733995
11-05-2014,733997
11-05-2014,733999
12-05-2014,734001
13-05-2014,734003
13-05-2014,734005
14-05-2014,734007
14-05-2014,734009
15-05-2014,734011
18-05-2014,734013
18-05-2014,734015
19-05-2014,734017
19-05-2014,734019
20-05-2014,734021
20-05-2014,734023
21-05-2014,734025
22-05-2014,734027
22-05-2014,734029
23-05-2014,734031
23-05-2014,734033
24-05-2014,734035
24-05-2014,734037
25-05-2014,734039
25-05-2014,734041
27-05-2014,734043
28-05-2014,734045
30-05-2014,734047
01-06-2014,734049
08-04-2015,829705
09-04-2015,829707
10-04-2015,829709
11-04-2015,829711
11-04-2015,829713
12-04-2015,829715
12-04-2015,829717
13-04-2015,829719
14-04-2015,829721
15-04-2015,829725
16-04-2015,829727
17-04-2015,829729
18-04-2015,829731
18-04-2015,829733
19-04-2015,829735
19-04-2015,829737
20-04-2015,829739
21-04-2015,829741
22-04-2015,829743
22-04-2015,829745
23-04-2015,829747
24-04-2015,829749
25-04-2015,829751
25-04-2015,829753
26-04-2015,829757
27-04-2015,829759
28-04-2015,829765
29-04-2015,829763
30-04-2015,829723
01-05-2015,829767
01-05-2015,829769
02-05-2015,829771
02-05-2015,829773
03-05-2015,829775
03-05-2015,829777
04-05-2015,829779
04-05-2015,829781
05-05-2015,829783
06-05-2015,829785
07-05-2015,829761
07-05-2015,829787
08-05-2015,829789
09-05-2015,829791
09-05-2015,829793
10-05-2015,829795
10-05-2015,829797
11-05-2015,829799
12-05-2015,829801
13-05-2015,829803
14-05-2015,829805
15-05-2015,829807
16-05-2015,829809
16-05-2015,829811
17-05-2015,829813
17-05-2015,829815
19-05-2015,829817
20-05-2015,829819
22-05-2015,829821
24-05-2015,829823
09-04-2016,980901
10-04-2016,980903
11-04-2016,980905
12-04-2016,980907
13-04-2016,980909
14-04-2016,980911
15-04-2016,980913
16-04-2016,980915
16-04-2016,980917
17-04-2016,980919
17-04-2016,980921
18-04-2016,980923
19-04-2016,980925
20-04-2016,980927
21-04-2016,980929
22-04-2016,980931
23-04-2016,980933
23-04-2016,980935
24-04-2016,980937
24-04-2016,980939
25-04-2016,980941
26-04-2016,980943
27-04-2016,980945
28-04-2016,980947
29-04-2016,980949
30-04-2016,980951
30-04-2016,980953
01-05-2016,980955
01-05-2016,980957
02-05-2016,980959
03-05-2016,980961
04-05-2016,980963
05-05-2016,980965
06-05-2016,980967
07-05-2016,980969
07-05-2016,980971
08-05-2016,980973
08-05-2016,980975
09-05-2016,980977
10-05-2016,980979
11-05-2016,980981
12-05-2016,980983
13-05-2016,980985
14-05-2016,980987
14-05-2016,980989
15-05-2016,980991
15-05-2016,980993
16-05-2016,980995
17-05-2016,980997
18-05-2016,980999
19-05-2016,981001
20-05-2016,981003
21-05-2016,981005
21-05-2016,981007
22-05-2016,981009
22-05-2016,981011
24-05-2016,981013
25-05-2016,981015
27-05-2016,981017
29-05-2016,981019
05-04-2017,1082591
06-04-2017,1082592
07-04-2017,1082593
08-04-2017,1082594
08-04-2017,1082595
09-04-2017,1082596
09-04-2017,1082597
10-04-2017,1082598
11-04-2017,1082599
12-04-2017,1082600
13-04-2017,1082601
14-04-2017,1082602
14-04-2017,1082603
15-04-2017,1082604
15-04-2017,1082605
16-04-2017,1082606
16-04-2017,1082607
17-04-2017,1082608
17-04-2017,1082609
18-04-2017,1082610
19-04-2017,1082611
20-04-2017,1082612
21-04-2017,1082613
22-04-2017,1082614
22-04-2017,1082615
23-04-2017,1082616
23-04-2017,1082617
24-04-2017,1082618
26-04-2017,1082620
27-04-2017,1082621
28-04-2017,1082622
28-04-2017,1082623
29-04-2017,1082624
29-04-2017,1082625
30-04-2017,1082626
30-04-2017,1082627
01-05-2017,1082628
01-05-2017,1082629
02-05-2017,1082630
03-05-2017,1082631
